group;id;cb;base;delta;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;20;0.09057138230769225;0.00014154835747180668;0.09030446153846151;0.0001479344561079668;0.001425520054251716;0.00012126017199735068
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;40;0.13043717769230767;0.00014013419259793772;0.1301506153846154;0.00009653969783185199;0.0014126006371658366;0.00018179759333117175
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;60;0.16880675307692308;0.00023070057715342252;0.16853838461538462;0.0002970012787687266;0.0023212203616634996;0.00021307551243939418
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;80;0.20465726846153848;0.0002104277085523607;0.20458173076923075;0.0002062515090122617;0.0021172580918925646;0.00019735562304926894
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;100;0.2501766061538463;0.0008729734652260879;0.24733023076923075;0.0006422708244179103;0.008764531347454651;0.0013606404991935597
