group;id;crdt;setting;cb;base;delta;parameter;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
list_near_real_time_setting;base_len=20000 delta_len=20;list;near_real_time;TRUE;20000;20;20;2.13863501;0.015734302994720357;2.151521;0.011420345237278614;0.15848046843680577;0.020797269867579665
list_near_real_time_setting;base_len=20000 delta_len=40;list;near_real_time;TRUE;20000;40;40;2.5906767000000004;0.020536248251183387;2.570021;0.009984663471344885;0.2074598038068721;0.02428950720424027
list_near_real_time_setting;base_len=20000 delta_len=60;list;near_real_time;TRUE;20000;60;60;2.98063081;0.02103622559910615;2.954729;0.022364575587376017;0.21117727395169822;0.02337978905638317
list_near_real_time_setting;base_len=20000 delta_len=80;list;near_real_time;TRUE;20000;80;80;3.34969456;0.018430751480500857;3.327041;0.021349361650554344;0.1852004225529858;0.015995555115212754
list_near_real_time_setting;base_len=20000 delta_len=100;list;near_real_time;TRUE;20000;100;100;3.74207454;0.020848919737418703;3.7101245;0.029835283667234164;0.20973509407400262;0.026143777911164845
