group;id;cb;base;delta;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=1000;FALSE;1000;20;0.0913573275;0.00016345917172833792;0.09108854166666666;0.00008165513772871824;0.0016406894554333471;0.0003766619547947486
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=1000;FALSE;1000;40;0.1345205054166666;0.00017479114404096534;0.13449129166666668;0.00022324041327951598;0.0017571480517293834;0.00023933720219784734
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=1000;FALSE;1000;60;0.1723605225;0.00012238849290024045;0.17247397916666668;0.00016389759187217275;0.0012324390540023097;0.00012550579184314329
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=1000;FALSE;1000;80;0.2069593565217391;0.00021853314490188623;0.2068225;0.00017725036904583875;0.0021987786459711505;0.00032456148369375693
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=1000;FALSE;1000;100;0.24184350608695665;0.00015000929882907883;0.2417509565217391;0.00014912658198205317;0.001506993662894001;0.0001529504746947483
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;20;0.09057138230769225;0.00014154835747180668;0.09030446153846151;0.0001479344561079668;0.001425520054251716;0.00012126017199735068
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;40;0.13043717769230767;0.00014013419259793772;0.1301506153846154;0.00009653969783185199;0.0014126006371658366;0.00018179759333117175
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;60;0.16880675307692308;0.00023070057715342252;0.16853838461538462;0.0002970012787687266;0.0023212203616634996;0.00021307551243939418
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;80;0.20465726846153848;0.0002104277085523607;0.20458173076923075;0.0002062515090122617;0.0021172580918925646;0.00019735562304926894
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=2000;FALSE;2000;100;0.2501766061538463;0.0008729734652260879;0.24733023076923075;0.0006422708244179103;0.008764531347454651;0.0013606404991935597
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=3000;FALSE;3000;20;0.09810416222222221;0.00039922426400194167;0.09739361111111113;0.00019624067263186183;0.003993774264686411;0.001264279506369325
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=3000;FALSE;3000;40;0.13466647333333337;0.00014121054759305614;0.13438194444444443;0.00013687935169829572;0.0014191819742898175;0.00016965029975182265
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=3000;FALSE;3000;60;0.17036346111111114;0.00025196854965125033;0.17002544444444445;0.00024406812831524857;0.002528579535082654;0.00034084229022452974
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=3000;FALSE;3000;80;0.2065870233333333;0.0003544767888245316;0.20583805555555557;0.0003653991501062757;0.00356159488778974;0.0006931469493445965
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=3000;FALSE;3000;100;0.2444266533333333;0.00028195238038300897;0.2440186666666667;0.0002590551957745863;0.002834849412489172;0.00026322356573080203
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=4000;FALSE;4000;20;0.09754440857142851;0.00019128692688149808;0.09714285714285714;0.0001517654785807201;0.0019222494247539289;0.00026580609166564854
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=4000;FALSE;4000;40;0.13528636142857142;0.0002072308693019159;0.13490471428571427;0.0001636226320654939;0.002077094459507005;0.00033127036327886916
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=4000;FALSE;4000;60;0.17703409571428572;0.0009511997090900736;0.17429464285714283;0.0005021906318938278;0.009549102527020764;0.0016667123908470892
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=4000;FALSE;4000;80;0.20834628142857145;0.0002900330774002071;0.207866;0.00024386510809231603;0.0029101023714978476;0.00021534630035163448
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=4000;FALSE;4000;100;0.24657077428571428;0.0003589571429477118;0.24622035714285717;0.0004308660337214014;0.0036205924889169583;0.0003007259420489069
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=5000;FALSE;5000;20;0.09870362833333332;0.0002605147265266119;0.0981805;0.0002728546486780675;0.002612333535350842;0.0004184143181257811
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=5000;FALSE;5000;40;0.1359663316666666;0.00020959940060751806;0.13547933333333334;0.00023337571103334968;0.002102620981637307;0.00017721336612850199
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=5000;FALSE;5000;60;0.17459411166666663;0.0008176014829594496;0.17259025;0.00035630024835855647;0.008199482970343388;0.002136567822407874
MVR_stores_near_real_time_setting;CRDT=without_causal_broadcast_base=5000;FALSE;5000;80;0.2089300766666666;0.0005083507818926309;0.2078819166666667;0.0002514974582571969;0.005147465408866483;0.0016075620945445598
