group;id;cb;base;delta;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;20;96.74418168999999;0.07815389952472343;96.712208;0.10553613971921283;0.7875701742294793;0.06673317649571894
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;40;98.11108045;0.13185542433407169;97.8230415;0.12174436262974432;1.3252334800426862;0.1340775201799381
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;60;98.28566751999999;0.1855108599680127;98.017542;0.2027301421641997;1.866777698920938;0.24537049270058026
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;80;98.29961123999999;0.1289610477600275;98.0945;0.10469956327617537;1.292130934437343;0.09619983752266086
MVR_stores_near_real_time_setting;CRDT=with_causal_broadcast_base=5000;TRUE;5000;100;97.7398375;0.15898536945352454;97.3499375;0.14130887959827343;1.5962451174140302;0.1509175158533647
