group,id,parameter,mean_point_estimate,mean_std_err,median_point_estimate,median_std_err,std_dev_point_estimate,std_dev_std_err
list_hydration_setting,base_len=10000,10000,197.67411836000002,0.1620844408617628,197.5085835,0.11641807249065088,1.6249728942264723,0.27932987532052317
list_hydration_setting,base_len=30000,30000,597.91809915,0.36018077181349106,597.8487915,0.3267358635187403,3.6194312179300456,0.38118087455986444
list_hydration_setting,base_len=20000,20000,398.82734257,0.350397280672439,398.315583,0.23237397991147354,3.5203106431790054,0.7661106008422118
list_hydration_setting,base_len=50000,50000,1005.3183816000001,0.6998322739980508,1004.3021875,0.47745336416829726,7.020039456381024,1.2660640209510992
list_hydration_setting,base_len=40000,40000,805.3190108099999,1.051640929403677,803.0137495,0.5305569287511391,10.613629642573633,1.6434595905965086
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=5000 delta_diameter=40,40,94.6521012,0.11829894070211892,94.661271,0.20125575090613024,1.18838691262456,0.09935385163258048
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=4000 delta_diameter=20,20,0.10061004857142858,0.0004531768420095483,0.09939585714285715,0.00036153156421093834,0.004552797136612727,0.0008318588033112983
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=1000 delta_diameter=80,80,0.21036179478260864,0.0002838860351409394,0.20998460869565216,0.0002798075176551285,0.0028489859238972977,0.0006936086400179555
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=1000 delta_diameter=20,20,0.09560470291666662,0.0006270159005439626,0.0941336875,0.00026862664128561424,0.006316076246072952,0.001803409608433352
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=4000 delta_diameter=80,80,0.20783250571428577,0.0002743360846534811,0.20773514285714284,0.0003621929981574081,0.0027611387880534773,0.0001954702831515767
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=3000 delta_diameter=60,60,58.685983289999996,0.07147741263762165,58.623854,0.08608591476378916,0.7168685931639461,0.07395249400607433
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=3000 delta_diameter=40,40,0.13831693333333334,0.0006262222377849233,0.13600922222222223,0.0003129820341193963,0.0062907687510341224,0.0009164484386138659
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=4000 delta_diameter=100,100,79.73439461,0.1423090006715602,79.4929165,0.1394004724118025,1.4327917810544173,0.20095476479982577
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=5000 delta_diameter=60,60,0.1733302033333334,0.00033208036842597783,0.17277075,0.00020673149920620023,0.003331172148262234,0.00040861974519207535
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=2000 delta_diameter=80,80,40.328476280000004,0.04370408155323033,40.295646,0.07098113979590083,0.4380590931563357,0.033974640160109974
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=4000 delta_diameter=100,100,0.24737278000000001,0.0003471908898389126,0.2467917857142857,0.0003510260056281686,0.0034932130194870047,0.0005193279638882534
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=2000 delta_diameter=20,20,38.13073205,0.04726052914809522,38.1337915,0.06918919741401522,0.4762233976952111,0.039455099198804064
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=2000 delta_diameter=100,100,0.24464085749999992,0.0002966169815026392,0.24447225,0.00034922990743902583,0.002982804793325617,0.00027331163190516414
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=5000 delta_diameter=20,20,0.10018319500000003,0.0003197747250391175,0.09952791666666666,0.0002841319461056439,0.0031981278858446514,0.0008608697316911766
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=2000 delta_diameter=100,100,40.997814659999996,0.048953244387146544,40.9766455,0.059017212798754465,0.49161853639836356,0.031239057996747924
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=2000 delta_diameter=60,60,39.7873558,0.05751490587287933,39.77375,0.05641599962778678,0.5783906103552784,0.12510644292407844
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=5000 delta_diameter=80,80,0.20898750500000005,0.0003406486711386819,0.20834375,0.00021031289999558434,0.0034144949760298022,0.00036422900154265623
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=1000 delta_diameter=40,40,20.17896536,0.021580837269928637,20.153125,0.027692014308658273,0.2163854632469949,0.017425329412664715
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=4000 delta_diameter=40,40,76.59806453,0.0797238980092308,76.652125,0.07815833326616145,0.7996301054383472,0.05183189177262957
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=3000 delta_diameter=80,80,59.32854836,0.06398188743866584,59.2278125,0.06553155469828197,0.6442592718897334,0.05270125582955692
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=4000 delta_diameter=60,60,0.17307670714285717,0.00023196794587360803,0.17273807142857142,0.0003646515446844742,0.002329906380270811,0.00019540945677563615
kv_stores_near_real_time_setting,crdt=w_cb base_diameter=3000 delta_diameter=20,20,56.83110752,0.07168313176911555,56.726271,0.03943728854547487,0.7224193297321692,0.1364772456268439
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=1000 delta_diameter=60,60,0.17474113217391304,0.00022694228590011754,0.17425267391304347,0.0004157959896880618,0.0022869251306177735,0.0001746701658930918
kv_stores_near_real_time_setting,crdt=wo_cb base_diameter=2000 delta_diameter=40,40,0.13423603461538464,0.0008623481364809662,0.13268426923076923,0.00023836490469983344,0.008711394427664842,0.003702950469519998
