group;id;crdt;setting;cb;base;delta;parameter;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
list_hydration_setting;base_len=10000;list;hydration;TRUE;10000;0;10000;197.67411836000002;0.1620844408617628;197.5085835;0.11641807249065088;1.6249728942264723;0.27932987532052317
list_hydration_setting;base_len=20000;list;hydration;TRUE;20000;0;20000;398.82734257;0.350397280672439;398.315583;0.23237397991147354;3.5203106431790054;0.7661106008422118
list_hydration_setting;base_len=30000;list;hydration;TRUE;30000;0;30000;597.91809915;0.36018077181349106;597.8487915;0.3267358635187403;3.6194312179300456;0.38118087455986444
list_hydration_setting;base_len=40000;list;hydration;TRUE;40000;0;40000;805.3190108099999;1.051640929403677;803.0137495;0.5305569287511391;10.613629642573633;1.6434595905965086
list_hydration_setting;base_len=50000;list;hydration;TRUE;50000;0;50000;1005.3183816000001;0.6998322739980508;1004.3021875;0.47745336416829726;7.020039456381024;1.2660640209510992
