group;id;crdt;setting;cb;base;delta;parameter;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
list_near_real_time_setting;base_len=30000 delta_len=20;list;near_real_time;TRUE;30000;20;20;2.68354962;0.02336353868568606;2.639604;0.02031356955955411;0.23445487810111726;0.024403690319125634
list_near_real_time_setting;base_len=30000 delta_len=40;list;near_real_time;TRUE;30000;40;40;3.04806081;0.01604577843082928;3.039541;0.016207616210818846;0.1608490372214411;0.01955337594059242
list_near_real_time_setting;base_len=30000 delta_len=60;list;near_real_time;TRUE;30000;60;60;3.39179004;0.01547145204150633;3.411396;0.028798120117609557;0.15512777539665015;0.012130943965712626
list_near_real_time_setting;base_len=30000 delta_len=80;list;near_real_time;TRUE;30000;80;80;3.86583255;0.020593687223502778;3.85475;0.017175263526605592;0.20560492266133426;0.01943083604988641
list_near_real_time_setting;base_len=30000 delta_len=100;list;near_real_time;TRUE;30000;100;100;4.14790756;0.01307575034288523;4.1228955;0.011864584806436318;0.1309178576374136;0.014855848380045132
