group;id;crdt;setting;cb;base;delta;parameter;mean_point_estimate;mean_std_err;median_point_estimate;median_std_err;std_dev_point_estimate;std_dev_std_err
list_near_real_time_setting;base_len=50000 delta_len=20;list;near_real_time;TRUE;50000;20;20;3.5521921;0.02793543659496379;3.4995835;0.024640015924511136;0.28210117807890317;0.022783252244671818
list_near_real_time_setting;base_len=50000 delta_len=40;list;near_real_time;TRUE;50000;40;40;3.98372546;0.029620045530566894;3.914625;0.03779694751175906;0.29749697012440385;0.02447894212505686
list_near_real_time_setting;base_len=50000 delta_len=60;list;near_real_time;TRUE;50000;60;60;4.37456958;0.026650051692962955;4.3205205;0.03164391632568112;0.26847270488755454;0.017554757162606134
list_near_real_time_setting;base_len=50000 delta_len=80;list;near_real_time;TRUE;50000;80;80;4.75048123;0.028140184445348;4.7029165;0.032092523044470515;0.2819894363707335;0.022685764772636164
list_near_real_time_setting;base_len=50000 delta_len=100;list;near_real_time;TRUE;50000;100;100;5.31412705;0.036783973019363946;5.233333;0.03262512220291165;0.36957961871207273;0.04601559155321526
